property_name,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
2 BHK FLAT FOR RENT NEAR MEENCHADA,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,2 BHK FLAT FOR RENT NEAR MEENCHADA","{'amount': '24000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/3hchj83nvigk-IN/image;s=850x0,2 BHK semi furnished flat for rent near mini bypass MEENCHADA with all amenities,Ramesh,"Malaparamba, Kozhikode, Kerala",Flats / Apartments,2,2
"Fully Furnished 3BHK House For Rent at Pottammal, Calicut (mh)","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,Fully Furnished 3BHK House For Rent at Pottammal, Calicut (mh)","{'amount': '35000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/chp88ez8ugty2-IN/image;s=850x0,"Are you looking for a House ?,Here it is.,2BHK 1200sq.ft Fully -Furnished House For Rent at Pottammal Calicut,Lank Mark : Prime Location ,  Pottammal, Rent : 35000/-,It hosts all the amenities and all the facilities are nearby the city.,Other Available Properties:-,* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-,* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-,*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-,* kottuli ,2bhk , 1000sq.ft,semi , 23000/-,*calicut Beach , 3bhk, 1600sq.ft,26000/-,* YMC , 1bhk, 700sq.ft semi,25000/-,* methoott Thazham 2bhk 800sq.ft semi , 16500/-,*pottammal, 3bhk , furnshed,25000/-,""Note : Image shown are only for business purpose , actual building / Land may differ."",For More details, Contact:,Big Deals Realtors,4th Floor , Hilite Business Park , Palazhy - Calicut -,About Us :,Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.,We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.,We Provide the following Specialised Features :,* Hassle free Documentation,* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property,* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc",Big Deals,"Pottammal, Kozhikode, Kerala",Flats / Apartments,3,3
4 BHK FURNISHED HOUSE FOR RENT NEAR MIMS HOSPITAL,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,4 BHK FURNISHED HOUSE FOR RENT NEAR MIMS HOSPITAL","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/zmyegsasncy71-IN/image;s=850x0,"4 BHK FURNISHED HOUSE FOR RENT NEAR MIMS HOSPITAL ,Very close : Mims hospital, mankavu, govindapuram, puthiyara,Rent : 30000/-,Note : images shown are for representation purpose only. Actual building differ.,Call between : 10 am - 7 pm ( Sunday off )",PROPERTY HUB,"Mankavu, Kozhikode, Kerala",Individual House / Villa,4,4
3BHK house near bypass iringadambally 28 K,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kovoor,3BHK house near bypass iringadambally 28 K","{'amount': '28000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/82ez3m0st681-IN/image;s=850x0,"Office use ,Doctor practice ,Advance 1.5 K",Pro Rent Buy n Sell,"Kovoor, Kozhikode, Kerala",Individual House / Villa,3,4
3BHK house office use near starcare hospital thondayad 25 K,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3BHK house office use near starcare hospital thondayad 25 K","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/o253q0ggng4s1-IN/image;s=850x0,"Neat,Ideal for office ,Godown etc,100 mtrs to bypass",Pro Rent Buy n Sell,"Thondayad, Kozhikode, Kerala",Individual House / Villa,4,3
New house first floor,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayur,New house first floor","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/o28ghd9mcrzy-IN/image;s=850x0,At iringadan palli chevayur access to medical college kovoor town etc well as well as corporation water,Shiju,"Chevayur, Kozhikode, Kerala",Individual House / Villa,2,2
3bhk full furnished house for rent at thondayad,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3bhk full furnished house for rent at thondayad","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/myyjpqrrwuq8-IN/image;s=850x0,"Branded Flats Rent & Sale In Calicut Town,3Bhk house for Rent  At thondayad,This Property Located In A Prime Location ,with well water ,2 car parking,150 mtr from main road,in a good area,*Very Close to hospital, Schools, Supermarkets And Railway Station.,Rent :- 30000/-,Note:-Showing Images Are Advertising Purpose Only/-,More Details ,Endless Properties,2nd Floor, Kairali Complex,Thondayad, Calicut",Endless properties,"Thondayad, Kozhikode, Kerala",Individual House / Villa,3,3
3 bhk Furnished flat for RENT in near Malaparambu,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,3 bhk Furnished flat for RENT in near Malaparambu","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/fbbbu8gf94ze-IN/image;s=850x0,"3 bedroom fully furnished flat for RENT in near Malaparambu.,Ground floor. Available to families only.,Covered car park.,Rent Rs 25000 including maintenance fee.,Genuine clients call for details and site visit.,Service charges as applicable.","S Kumar, Vaishali properties","Malaparamba, Kozhikode, Kerala",Flats / Apartments,3,3
"House suitable for living, hostel, office.. etc...","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Puthiyara,House suitable for living, hostel, office.. etc...","{'amount': '35000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/rcw0jgdik51t1-IN/image;s=850x0,Giving only for rent,Olx User,"Puthiyara, Kozhikode, Kerala",Individual House / Villa,4+,4
3 BHK SEMI FURNISHED FLAT FOR RENT AT KARAPARAMBA,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,3 BHK SEMI FURNISHED FLAT FOR RENT AT KARAPARAMBA","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/l66khuyof0s23-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,3 BHK SEMI FURNISHED FLAT FOR RENT AT KARAPARAMBA,located in a prime location ,* Very close : Karaparamba, meitra hospital, civil station, iqraa hospital, malaparamba, eranjipalam, sarovaram bio park, arayidathupalam, mofussil bus stand, ksrtc bus stand ,Amenities: ,* Swimming pool ,* ⁠Gym,* ⁠Children’s play area,* ⁠Party area,* ⁠Landscaped garden ,* Lift ,* ⁠Intercom facility ,* Covered parking ,* Cctv cameras ,* ⁠Waste Management ,* ⁠24 Hr water supply ,* 24 Hr security ,* 24 Hr power backup,* ⁠Fire fighting system ,3 bhk apartment for rent near meitra,rent : 14000/-,3 bhk apartment for rent near nadakkave,rent : 18000/-,3 bhk apartment for rent near nadakkave ,rent : 25000/-, ,3bhk semi furnished flat for rent near nadakkave ,rent : 25000/-,3bhk semi furnished flat for rent near near erajhipalam  ,rent : 25000 /-,3bhk semi furnished flat for rent near Arayidathpalam,rent : 25000/-,3bhk semi furnished flat for rent near mims hospital ,rent : 25000/-,3bhk  furnished flat for rent near karaparambe,rent : 25000/-,3bhk semi  furnished flat for rent near hilite mall  ,rent : 25000/-, ,3bhk semi  furnished flat for rent near palazhi,rent : 25000/-, ,3bhk semi  furnished flat for rent near meitra hospital,rent : 25000/-,3bhk furnished flat for rent near malaparmbe,rent : 27000/-,3bhk semi furnished flat for rent near Govindhapuram,rent : 28000/,3bhk semi furnished flat for rent near Lulu mall ,rent : 280000/-,3bhk  furnished flat for rent near Beach ,rent : 30000/-,3 bhk furnished flat for rent near  thondayad ,rent : 30000/-,3bhk  furnished flat for rent near pottamal,rent : 35,000/-,3bhk  furnished flat for rent near beach ,rent : 60,000 /-,Note : images shown are for representation purpose only . actual building differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Karaparamba, Kozhikode, Kerala",Flats / Apartments,3,3
First floor for Lease    Brokers please excuse,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kallai,First floor for Lease    Brokers please excuse","{'amount': '800000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ygp3soa3n1jb1-IN/image;s=850x0,വീട് പണയത്തിന് കൊടുക്കുന്നു Schools Hospitals Temples Transports etc are near,Sreetha Biju,"Kallai, Kozhikode, Kerala",Individual House / Villa,2,2
വാടക പണയം വില്പന,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,വാടക പണയം വില്പന","{'amount': '20000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ql8ofsh9100m-IN/image;s=850x0,"ഫാമിലിക്കും ബാച്ച്ലേഴ്‌സിനും പറ്റിയ ഫർണിച്ചർ ഉള്ളതും ഇല്ലാത്തതും ആയ വീടുകൾ ഫ്ലാറ്റുകൾ അപ്പാർട്മെന്റുകൾ ഹോസ്റ്റലുകൾ ,കാലിക്കറ്റ്‌ എല്ലായിടത്തും ,നമ്പർ മുകളിൽ ഫോട്ടോസിൽ ,കാലിക്കറ്റ്‌ ഒരു ഓഫീസ് അല്ലെങ്കിൽ ഗോഡൗൺ ഷോപ്പ് റൂം നിങ്ങൾ തിരയുന്നുണ്ടോ എങ്കിൽ ഞങ്ങളെ വിളിക്കു ,ഹോസ്റ്റൽ നടത്താൻ പറ്റിയ നല്ല വീടുകൾ അപ്പാർട്മെന്റുകൾ കാലിക്കറ്റ്‌ എല്ലായിടത്തും ,വീട് അപ്പാർട്മെന്റ് ബിൽഡിങ്ങുകൾ വെക്കാൻ പറ്റിയ നല്ല സ്ഥലങ്ങൾ ,ചെറിയ ബഡ്ജറ്റിൽ ഉള്ളതും വലിയ കോമേഴ്‌ഷ്യൽ പ്രോപ്പർട്ടികളും ,ഞങ്ങളുടെ നമ്പറിൽ വിളിക്കു",Jaasi,"Mankavu, Kozhikode, Kerala",Individual House / Villa,4+,4+
PG HOSTEL BOYS & LADIES,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Parayanchery,PG HOSTEL BOYS & LADIES","{'amount': '3500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/27ca5iqfd5793-IN/image;s=850x0,"- WIFI,- WASHING MACHINE ,- HOUSE KEEPING ,- LOCKER,- PLAYING AREA,- CURRENT BILL , WATER BILL INCLUDING",Irfan,"Parayanchery, Kozhikode, Kerala",Individual House / Villa,3,4
2 BHK apstayar House Rent Mankavu,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,2 BHK apstayar House Rent Mankavu","{'amount': '11000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/3iqxz5q0zxor1-IN/image;s=850x0,"Just 100 meters from Mangaw Town,Rent   11,000",Manu,"Mankavu, Kozhikode, Kerala",Flats / Apartments,1,2
2 BHK SEMI FURNISHED FLAT FOR RENT NEAR ASHOKAPURAM,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Ashokapuram,2 BHK SEMI FURNISHED FLAT FOR RENT NEAR ASHOKAPURAM","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/2rolmz3v0x062-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,2 BHK SEMI FURNISHED FLAT FOR RENT NEAR ASHOKAPURAM,located in a prime location ,* Very close : Ashokapuram, ymca cross road, fathima hospital, christian college junction, calicut beach, beach hospital ,Amenities: ,* Lift ,* Car parking ,* Cctv cameras ,* ⁠Waste Management ,* ⁠24 Hr water supply ,* 24 Hr security ,* 24 Hr power backup,* ⁠Fire fighting system ,2 bhk apartment for rent near kallai,rent : 14000 /-,2 bhk apartment for rent near nadakkave,rent : 15000/-,2 bhk apartment for rent near nadakkave,rent : 15000/-,2 bhk apartment for rent near ashokapuaram ,rent : 15000/- ,2 bhk apartment for rent near mankave ,rent : 15000/-,2 bhk semi furnished flat for rent near cyber park ,rent : 17000/-,2 bhk semi furnished flat for rent near civil station  ,rent : 17000/-,2 bhk semi furnished flat for rent near karaparambe,rent : 20000/-,2 bhk   furnished flat for rent near hillite mall ,rent :22000/-,2 bhk semi furnished flat for rent near thondayad ,rent : 25000/-,2 bhk  furnished flat for rent near medical college ,rent : 25000/-,2 bhk  furnished flat for rent near puthiyara,rent : 25000/-,2 bhk  furnished flat for rent near mankave ,rent : 25000/-,2 bhk  furnished flat for rent near sarovaram bio  park,rent : 26000/-,2 bhk furnished flat for rent near baby hospital ,rent : 28000/-,2bhk furnished flat for rent near arayedathpalam,rent : 35000 /-,2bhk furnished flat for rent near kottoli,rent : 35000 /-,Note : images shown are for representation purpose only . actual building differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Ashokapuram, Kozhikode, Kerala",Flats / Apartments,2,2
Thondayad Near Starcare Hospital 2BHK Ground floor House Rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Thondayad Near Starcare Hospital 2BHK Ground floor House Rent","{'amount': '13000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/bhobyjg9s7272-IN/image;s=850x0,"Only family Rend    13,000",Manu,"Thondayad, Kozhikode, Kerala",Individual House / Villa,2,2
2 BHK APSTAYAR HOUSE FOR RENT IN AREDATHPALAM BEACHELORS ALLOWED,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Arayedathupalam,2 BHK APSTAYAR HOUSE FOR RENT IN AREDATHPALAM BEACHELORS ALLOWED","{'amount': '16000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/0h07wubkg0053-IN/image;s=850x0,"Arayidathupalam House ,Bachelor's allowed ,Only two wheeler facility available,Rent    16,000,Advance  50,000",Manu,"Arayedathupalam, Kozhikode, Kerala",Individual House / Villa,2,2
"OADU MALIKA VEEDU GROUND FLOOR FOR RENT KOMMERI, CALICUT.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kommeri,OADU MALIKA VEEDU GROUND FLOOR FOR RENT KOMMERI, CALICUT.","{'amount': '8000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/sq4jsk2us02m-IN/image;s=850x0,"OADU MALIKA VEEDU GROUND FLOOR FOR RENT KOMMERI, CALICUT.,2 BED ROOM ONE BATH ROOM, HALL, KITCHEN,WELL WATER,TWO WHEELER SITE.,ADVANCE:25000/-,RENT:8000/-",Super Deal,"Kommeri, Kozhikode, Kerala",Individual House / Villa,1,2
"APARTMENT GROUND FLOOR FOR RENT NEAR LULU MALL, CALICUT.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,APARTMENT GROUND FLOOR FOR RENT NEAR LULU MALL, CALICUT.","{'amount': '17000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/hv1so0pa3a503-IN/image;s=850x0,"APARTMENT GROUND FLOOR FOR RENT NEAR LULU MALL, CALICUT.,2 BED ROOM ATTACHED, HALL, KITCHEN,WELL WATER &KWA WATER, CAR SITE. (FAMILY OR LADIES ONLY),ADVANCE:50000/-,RENT :17000/-",Super Deal,"Mankavu, Kozhikode, Kerala",Flats / Apartments,2,2
3 bhk full furnished house for rent.,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thadambattuthazham,3 bhk full furnished house for rent.","{'amount': '27000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/2l5c6h1jvsdt1-IN/image;s=850x0,"Welcome to this charming 3-bedroom, fully furnished house nestled in a serene neighborhood. This spacious home boasts a cozy living room perfect for relaxation, a well-equipped kitchen for culinary adventures, and a dining area for enjoying meals with family and friends. Each of the three bedrooms offers comfortable sleeping arrangements and ample storage space. The house also features modern amenities including air conditioning, high-speed internet, and smart home technology for convenience. Outside, you'll find a lush garden area ideal for outdoor gatherings and a private parking space for your convenience. Whether you're seeking a peaceful retreat or a place to entertain, this furnished 3BHK house is sure to exceed your expectations.",Gopalakrishnan PV,"Thadambattuthazham, Kozhikode, Kerala",Individual House / Villa,3,3
DOUBLE STORIED HOSTEL HOUSE FOR RENT NEAR MIMS HOSPITAL CALICUT.,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,DOUBLE STORIED HOSTEL HOUSE FOR RENT NEAR MIMS HOSPITAL CALICUT.","{'amount': '35000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/c07roy6dsp361-IN/image;s=850x0,"DOUBLE STORIED HOSTEL HOUSE FOR RENT NEAR MIMS HOSPITAL CALICUT.,4 BED ROOM ATTACHED, HALL, KITCHEN,KWA WATER, CAR SITE. ,ADVANCE:1.5 LAKH,RENT :35000/-",Super Deal,"Govindapuram, Kozhikode, Kerala",Individual House / Villa,4,4
2BHK house for rent Chelannur,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kandan Kulangara,2BHK house for rent Chelannur","{'amount': '9000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ezxx2ma9urxl1-IN/image;s=850x0,"2BHK house for rent chelannur.,Newly build house",Vijayan,"Kandan Kulangara, Kozhikode, Kerala",Flats / Apartments,2,2
FURNISHED AC UPSTAIR FOR RENT GOVINDAPURAM CALICUT.,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,FURNISHED AC UPSTAIR FOR RENT GOVINDAPURAM CALICUT.","{'amount': '23000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/0pe29osnlwsy-IN/image;s=850x0,"FURNISHED AC UPSTAIR FOR RENT GOVINDAPURAM CALICUT.,1BEDROOM,1 BATHROOM, HALL, KITCHEN, WELL WATER, CAR SITE.,ADVANCE:46000/-,RENT:23000/-(MONTHLY RENT)",Super Deal,"Govindapuram, Kozhikode, Kerala",Individual House / Villa,1,1
"ROOM OR BED SPACE AVAILABLE PUTHIYAPALAM, KOZHIKODE  RENT - 3000","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Puthiyapalam,ROOM OR BED SPACE AVAILABLE PUTHIYAPALAM, KOZHIKODE  RENT - 3000","{'amount': '3000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ip61h5qd7i9c1-IN/image;s=850x0,"ROOM OR BED SPACE AVAILABLE PUTHIYAPALAM, KOZHIKODE  RENT - 3000",Nizar M,"Puthiyapalam, Kozhikode, Kerala",Flats / Apartments,1,1
6 Bhk house for Rent At Civil station Calicut,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Civil Station,6 Bhk house for Rent At Civil station Calicut","{'amount': '40000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ped9iuxb025b-IN/image;s=850x0,"Branded Flats Rent & Sale In Calicut Town,3Bhk house for Rent at  For Rent At civil station ,This Property Located In A Prime Location ,*Very Close to hospital, Schools, Supermarkets And Railway Station.,Rent :-  40000/-,Note:-Showing Images Are Advertising Purpose Only/-,More Details ,Endless Properties,2nd Floor, Kairali Complex,Thondayad, Calicut",Endless properties,"Calicut Civil Station, Kozhikode, Kerala",Individual House / Villa,3,4+
House for rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut University,House for rent","{'amount': '8000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/18p6bwl0cajv3-IN/image;s=850x0,Near Calicut univercity,Jayan,"Calicut University, Kozhikode, Kerala",Individual House / Villa,2,4+
Bed space for rent in calicut,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,Bed space for rent in calicut","{'amount': '4000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ic32bh1rhk4u-IN/image;s=850x0,"Bed space for rent near railway station.,500 meter from calicut railway station,For students & working professionals,3 sharing rooms,₹4000 per bed (4000 advnce + 4000 pre rent)",Ajmal,"Calicut Beach, Kozhikode, Kerala",Flats / Apartments,1,2
2 bhk independent house for rent near civilstation,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Civil Station,2 bhk independent house for rent near civilstation","{'amount': '16000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/k7yc85j01roe3-IN/image;s=850x0,"2 bhk independent house for rent near civil station,Bed room .2,Office room .1",Jothish,"Calicut Civil Station, Kozhikode, Kerala",Individual House / Villa,2,2
"3 bhk villa for rent at thadambatuthazham, kozhikode","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thadambattuthazham,3 bhk villa for rent at thadambatuthazham, kozhikode","{'amount': '22500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/vmy2ot2l9brl2-IN/image;s=850x0,"Independent villa house, 3bhk, 24 hrs security ,club house, water supply, kulangara resident road, thadambatuthazham,calicut. Available from December 2024",Vibin,"Thadambattuthazham, Kozhikode, Kerala",Individual House / Villa,3,3
3 BHK FURNISHED FLAT FOR RENT NEAR ERANHIPALAM,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranhipalam,3 BHK FURNISHED FLAT FOR RENT NEAR ERANHIPALAM","{'amount': '26000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/tr45v29pns132-IN/image;s=850x0,"BRANDED FLAT FOR RENT & SALE AVAILABLE IN KOZHIKODE,3 BHK FURNISHED FLAT FOR RENT NEAR ERANHIPALAM ,1 TO 4 BHK AVAILABLE IN HEART OF CITY ,located in a prime location ,* Very close : Arayidathupalam, christian college, puthiyara, mavoor road, nadakkavu , sarovaram, mananchira, mofussil bus stand, ksrtc stand, railway station, baby memorial hospital, mims hospital, malabar hospital, matria hospital, fathima hospital, focus mall, gokulam mall, hilite mall, lulu mall , Amenities  :,* Swimming pool,* GYM,* Party area,* Children play area,* Lift ,* 24 Hr Security,* 24 Hr power backup,* 24 Hr water supply ,* Waste management ,* Covered parking ,* Multi purpose hall,* Entrance lobby ,* Fire fighting system,Asking Price : 26000 + MNC ,Note : images shown are for representation purpose only . actual building differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Eranhipalam, Kozhikode, Kerala",Flats / Apartments,3,3
Home for rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,Home for rent","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/o76275pcdmh41-IN/image;s=850x0,"2bhk ,UnFurnished ,Upstair ,Broker stay back,Call me,Road side home",OLX User,"Chevarambalam, Kozhikode, Kerala",Individual House / Villa,2,2
2BHK and 1BHK house for rent Malaparamb,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,2BHK and 1BHK house for rent Malaparamb","{'amount': '20000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/wizsr4jtoqrk-IN/image;s=850x0,"2BHK/1BHK house for rent ,Near malaparamb ,Near to Civil station ,Newly build houses",Abhilash,"Malaparamba, Kozhikode, Kerala",Flats / Apartments,2,2
"Manonmani, Near kacheri LP School","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu,Manonmani, Near kacheri LP School","{'amount': '12500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8cv0i3ey82ky-IN/image;s=850x0,"House situated at Nadakkavu, Major santhosh road. Location is 100 mtrs from Day mart super market.",Anoop kumar,"Nadakkavu, Kozhikode, Kerala",Individual House / Villa,1,2
INDEPENDENT HOUSE FOR RENT CHEVAYOOR CALICUT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,INDEPENDENT HOUSE FOR RENT CHEVAYOOR CALICUT","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ilc0ienjhsah3-IN/image;s=850x0,"INDEPENDENT HOUSE FOR RENT CHEVAYOOR CALICUT.,2 BEDROOM,2 BATHROOM, HALL, KITCHEN, KWA WATER, CAR SITE.,ADVANCE:50000/-,RENT:15000",Super Deal,"Chevayoor, Kozhikode, Kerala",Individual House / Villa,2,2
KOZHIKODE WESTHILL 2 BEDROOM HOUSE,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu,KOZHIKODE WESTHILL 2 BEDROOM HOUSE","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/4azmus4s2x7s1-IN/image;s=850x0,"For Rent Ground floor  Semi furnished ,15000 Rent Advance Six months Rent ,KAIRALI PROPERTIES KOZHIKODE ,Service charge applicable ,Pic may not be original",KAIRALI PROPERTIES  CALICUT,"Nadakkavu, Kozhikode, Kerala",Individual House / Villa,2,2
